,code_ligne,variante,stop_1,stop_2,distance,distance_m
329,007t,2,5200F,3481,0.0,330.14839087900623
330,007t,2,3481,5208,0.0,200.4109777432398
331,007t,2,5208,1049F,0.0,381.03280698648507
332,007t,2,1049F,5210,0.0,236.7298037848213
333,007t,2,5210,5211,0.0,342.4631367023318
334,007t,2,5211,5212,0.0,402.3493506891741
335,007t,2,5212,5213,0.0,342.47335662792807
336,007t,2,5213,5220F,0.0,148.66068747318505
337,007t,2,5220F,9969F,0.0,73.76313442364011
338,007t,2,9969F,5219F,0.0,71.30918594402827
339,007t,2,5219F,6421F,0.0,347.17430780517157
340,008t,1,6314,5405,0.0,350.03571246374275
341,008t,1,5405,5406,0.0,582.176949045563
342,008t,1,5406,5404,0.0,233.8482413874434
343,008t,1,5404,5408,0.0,512.2899569579712
344,008t,1,5408,5409,0.0,489.3883938141566
345,008t,1,5409,1047F,0.0,339.5585369269929
346,008t,1,1047F,5258,0.0,399.38202262996265
347,008t,1,5258,2397F,0.0,248.71871662583015
348,008t,1,2397F,5407F,0.0,447.6885077819175
349,008t,1,5407F,5413F,0.0,414.36698710201324
350,008t,1,5413F,5414F,0.0,475.015789211264
351,008t,1,5414F,5415F,0.0,466.0862688387257
352,008t,1,5415F,5416F,0.0,259.500308284977
353,008t,1,5416F,5418,0.0,553.4265985656996
354,008t,1,5418,5419,0.0,302.51280964613716
355,008t,1,5419,5420F,0.0,444.06305858515185
356,008t,1,5420F,5421,0.0,407.25913126656843
357,008t,1,5421,5422,0.0,456.40004382120736
358,008t,1,5422,5423,0.0,419.38049549305464
359,008t,1,5423,2077,0.0,534.1329422531436
360,008t,1,2077,2086,0.0,454.1156240430404
361,008t,1,2086,5426,0.0,306.41801513618617
362,008t,1,5426,5269F,0.0,503.5434440045864
363,008t,1,5269F,5270F,0.0,393.6000508130048
364,008t,1,5270F,5271F,0.0,660.4437901895967
365,008t,1,5271F,5272F,0.0,819.5266926708367
366,008t,1,5272F,5223F,0.0,562.19791888621
367,008t,1,5223F,5225F,0.0,399.108205879059
368,008t,1,5225F,5227F,0.0,463.804322963908
369,008t,1,5227F,5229F,0.0,356.5300127618867
370,008t,2,5230F,5228F,0.0,383.91099228858997
371,008t,2,5228F,5226F,0.0,553.2485969254744
372,008t,2,5226F,5224F,0.0,305.34146459332464
373,008t,2,5224F,5281G,0.0,617.7725228593564
374,008t,2,5281G,5282F,0.0,832.4589179052499
375,008t,2,5282F,5283F,0.0,569.0588721740485
376,008t,2,5283F,5284F,0.0,407.1179190357506
377,008t,2,5284F,5427,0.0,496.71319692554977
378,008t,2,5427,2014,0.0,371.29637757457317
379,008t,2,2014,2026,0.0,390.1858531520588
380,008t,2,2026,5430,0.0,521.7710225759955
381,008t,2,5430,5452,0.0,422.35648450094857
