,route_id,stop_id,inter,inter_day,delay
1152,15,5007F,2021-09-06 21:00:00,6,232204
1153,15,5007F,2021-09-06 21:00:00,6,123803
1154,15,5008F,2021-09-06 21:00:00,6,214787
1156,15,5009F,2021-09-06 21:00:00,6,203662
1160,15,5011F,2021-09-06 21:00:00,6,231385
1162,15,5013F,2021-09-06 21:00:00,6,195626
1164,15,5014,2021-09-06 21:00:00,6,180797
1166,15,5015,2021-09-06 21:00:00,6,187806
1168,15,5024,2021-09-06 21:00:00,6,846379
1170,15,5025,2021-09-06 21:00:00,6,846743
1172,15,5026,2021-09-06 21:00:00,6,868679
1180,15,5071,2021-09-06 21:00:00,6,1207846
1181,15,5071,2021-09-06 21:00:00,6,367846
1183,15,5072,2021-09-06 21:00:00,6,161116
1184,15,5072,2021-09-06 21:00:00,6,387424
1185,15,5074F,2021-09-06 21:00:00,6,848389
1186,15,5074F,2021-09-06 21:00:00,6,120389
1187,15,5076F,2021-09-06 21:00:00,6,823522
1189,15,5077,2021-09-06 21:00:00,6,830832
1191,15,5078F,2021-09-06 21:00:00,6,807550
1193,15,5079,2021-09-06 21:00:00,6,813425
1198,15,5081F,2021-09-06 21:00:00,6,154652
1200,15,5089,2021-09-06 21:00:00,6,128025
1201,15,5089,2021-09-06 21:00:00,6,389197
1202,15,5398F,2021-09-06 21:00:00,6,854352
1203,15,5398F,2021-09-06 21:00:00,6,134352
1211,15,5471,2021-09-06 21:00:00,6,153782
1213,15,5472,2021-09-06 21:00:00,6,146560
1214,15,5817F,2021-09-06 21:00:00,6,855310
1218,15,5823,2021-09-06 21:00:00,6,133622
1219,15,5823,2021-09-06 21:00:00,6,850871
1222,15,5825,2021-09-06 21:00:00,6,895444
1224,15,5826,2021-09-06 21:00:00,6,133566
1225,15,5826,2021-09-06 21:00:00,6,2039630
1226,15,5826,2021-09-06 21:00:00,6,1199630
1227,15,5853G,2021-09-06 21:00:00,6,134313
1229,15,5860,2021-09-06 21:00:00,6,129711
1232,15,6209,2021-09-06 21:00:00,6,127799
1233,15,6253,2021-09-06 21:00:00,6,920116
1235,15,6423F,2021-09-06 21:00:00,6,2064881
1236,15,6423F,2021-09-06 21:00:00,6,1224881
1240,15,6601,2021-09-06 21:00:00,6,1099239
1241,15,6601,2021-09-06 21:00:00,6,199239
1243,15,6604F,2021-09-06 21:00:00,6,188733
1244,15,6607,2021-09-06 21:00:00,6,120067
1245,15,6607,2021-09-06 21:00:00,6,341772
1247,15,6608G,2021-09-06 21:00:00,6,223795
1249,15,6649F,2021-09-06 21:00:00,6,205192
1251,15,6650G,2021-09-06 21:00:00,6,222550
1252,15,6651,2021-09-06 21:00:00,6,228131
1255,15,6653F,2021-09-06 21:00:00,6,209575
